User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
UnprocessedCook,Audrey R.,"United Natural Foods, Inc. Price Target Update: United Natural Foods, Inc. (NASDAQ:UNFI): The stock price is e... bit.ly/1Xp0AVI",Fri Sep 04 11:05:23 +0000 2015,false,false,100,91,,"3 years, 10 months",en,Profile Page,
iHangout,iHangout,chartguy89: 2015 Trending Stocks: UNFI +0.16% Stock Charts $UNFI United Natural dlvr.it/C4Qx0c,Sun Sep 06 13:37:23 +0000 2015,false,false,1012,1314,Investors Hangout,http://t.co/4kI1M7wOjO,en,Profile Page,
StockConsultant,Dan Chapman,"$UNFI (United Natural Foods) stock bottom breakout above 49.41, volume 32% above normal #stocks pic.twitter.com/20D8HBCklT",Tue Sep 08 14:54:12 +0000 2015,false,false,2341,1218,USA,http://t.co/c5ABYKWYD1,en,Profile Page,
leahanneta,leahanne,"CLDX Celldex Therapeutics Inc. Dividend
dlvr.it/C72hj9

$CLDX $XPF.TO $UNFI $ALK #CLDX #stock #share",Fri Sep 11 13:33:10 +0000 2015,false,false,552,497,,"1 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"UNFI United Natural Foods, Inc. Investor Opinions
dlvr.it/C72t00

$UNFI $OIL $TZA $NEM #UNFI #investing #stock",Fri Sep 11 13:47:36 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
firsttomarkets,FirstToMarkets,"United Natural Foods, Inc.  Reiterated Rating by Piper Jaffray (Ranked 54th) to Overweight with 56 PT $UNFI #UNFI firsttomarkets.com/analytics/stoc…",Fri Sep 11 21:45:08 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
