User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
d_peat,Declan,"RT @GnodGnetwerk: NEW STOCK IN ONOTESLA SHOP - Another Gem, this time all the way from County Cork in Ireland, the unsettling... http://t.ctmblr.co/ZsJ8zx1tT1xmE",Thu Sep 03 16:36:50 +0000 2015,false,false,247,272,,"6 years, 4 months",en,Profile Page,
CobyTaylor73,CT_UCF,"@UCF_Football laughing stock of the AAC right now, hang up the 3 peat talk folks, this is worse than losing to UCONN",Fri Sep 04 01:56:17 +0000 2015,false,false,32,88,,"7 months, 1 weeks",en,Profile Page,
GardeningGolfer,Walt,"Popped into my local garden centre for some peat free compost,can't believe they do not stock horticultural sharp sand! @otternurseries",Fri Sep 04 11:39:26 +0000 2015,false,false,298,444,,"6 years, 2 months",en,Profile Page,
DEADHead6988,DeadHead8869,"RT @TheHockeyVines: Insane fight between PJ Stock and Stephen Peat!! 👊👊
vine.co/v/M2mF26Qtwab",Fri Sep 04 13:42:21 +0000 2015,false,false,225,883,South Milwaukee,http://t.co/YVAbFf4kcb,en,Profile Page,
clply,MakeupBranded,"READY STOCK
Belif Travel Size
De Wrinkle Treatment Cream
Peat Miracle Revital Cream
✔100% Original
❌… instagram.com/p/7RhAFBLRpj/",Sun Sep 06 03:14:47 +0000 2015,false,false,350,1171,jakarta,http://t.co/62nG0dV7Bv,en,Profile Page,
TidyHydro,Frank,Root!t Expanding Peat Propagation Plugs -  in Stock Now!... tidyhydro.com/roott-expandin… #hydroponics,Sun Sep 06 13:47:50 +0000 2015,false,false,594,970,"Plymouth, UK",http://t.co/sTIBfQxIlu,en,Profile Page,
GloriaChristop2,GloriaChristopher,The phrases which are so that happen to be avoided tense stock clerk swapping on noisome peat: txyxJ,Thu Sep 10 07:50:42 +0000 2015,false,false,47,1,,"2 years, 6 months",en,Profile Page,
clply,MakeupBranded,"READY STOCK
Belif Travel Size
De Wrinkle Treatment Cream
Peat Miracle Revital Cream
✔100% Original
❌… instagram.com/p/7ehF4MqRzw/",Fri Sep 11 04:25:40 +0000 2015,false,false,350,1171,jakarta,http://t.co/62nG0dV7Bv,en,Profile Page,
,,,,,,,,,,,,
