User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
freelancer1a2b,#,"RT @IBDinvestors: Since Yahoo announced plans to spin off its Alibaba stake, the value has plunged from $39.5b to $23.3b. ow.ly/RXnwN",Fri Sep 11 21:39:30 +0000 2015,false,false,264,1337,,"6 months, 1 weeks",en,Profile Page,
freelancer1a2b,#,RT @amigobulls: $YHOO $GOOGL $BABA $VZ $CMCSA Yahoo could be more valuable as a digital media company. amigobulls.com/articles/broke…,Fri Sep 11 21:41:23 +0000 2015,false,false,264,1337,,"6 months, 1 weeks",en,Profile Page,
Top_Tech_Stocks,Top Tech Stocks,Arista Stock Slumps on Concern Cisco Case May Block Product.. bloomberg.com/news/articles/… 12Stocks.com/CSCO #Tech #stocks,Fri Sep 11 21:42:26 +0000 2015,false,false,351,4,"Orlando, FL",http://t.co/4FCBfZfYgQ,en,Profile Page,
amigobulls,Amigobulls,"$YHOO $GOOGL $BABA $VZ $CMCSA With Alibaba value plummeting, Is Yahoo a stock to buy? amigobulls.com/articles/broke…",Fri Sep 11 22:00:04 +0000 2015,false,false,231,101,,http://t.co/1Q6Q6ovKxL,en,Profile Page,
DTNStockMarket,DTN Stock Market ,DTN Stock Market: Curbing enthusiasm ahead of Fed meeting: By Rodrigo Campos NEW YORK (Reuters) - With stocks ... yhoo.it/1XUzPJ3,Fri Sep 11 22:00:37 +0000 2015,false,false,5171,80,Canada,http://t.co/9RDfA2fZJq,en,Profile Page,
TalkMarkets,TalkMarkets,Broken Promises Hide Real Value Of Yahoo Stock $YHOO $BABA $GOOGL goo.gl/dQDAVP,Fri Sep 11 22:02:09 +0000 2015,false,false,1107,397,,http://t.co/iL0trK2OzM,en,Profile Page,
DTNStockMarket,DTN Stock Market ,"DTN Stock Market: How NASA Just Spent $350,000 on Fuel to Go Exactly Nowhere:  yhoo.it/1K1MTD0",Fri Sep 11 22:22:38 +0000 2015,false,false,5171,80,Canada,http://t.co/9RDfA2fZJq,en,Profile Page,
TrulaRetort,Forex Binary Option ,"RT @DTNStockMarket: DTN Stock Market: How NASA Just Spent $350,000 on Fuel to Go Exactly Nowhere:  yhoo.it/1K1MTD0",Fri Sep 11 22:32:34 +0000 2015,false,false,137,69,,http://t.co/89y6yhdGkA,en,Profile Page,
KyleAndersonHub,Kyle Anderson Hub,Why the Yahoo Stock Price Fell Today (Nasdaq: YHOO) snsanalytics.com/ZCouy0,Fri Sep 11 23:00:41 +0000 2015,false,false,1975,830,,"5 years, 6 months",en,Profile Page,
StockDawgzz,Stock Dawgzz,We Have Seen INCREDIBLE GAINS On Our Stock Picks Lately! See Our New Pick: goo.gl/Nukfef $MU $YHOO $CGIX,Fri Sep 11 23:29:52 +0000 2015,false,false,15760,1,,"5 months, 4 weeks",en,Profile Page,
Stockaholics,Stockaholics,"Our Stock Picks Have Gained Over 1,000% In 2 Months! See Our HUGE New Alert: bit.ly/1K6qUKg $MU $YHOO $CGIX",Fri Sep 11 23:30:14 +0000 2015,false,false,15143,8,,"1 years, 4 months",en,Profile Page,
StockRocketzz,Stock Rocket,Our Stock Alerts Are Seeing Huge Gains! Get Special Early Access To New Picks: tinyurl.com/ptw9sd9 $MU $YHOO $CGIX,Fri Sep 11 23:33:05 +0000 2015,false,false,14862,1,,"1 years, 4 months",en,Profile Page,
Stockenheimer1,StockenheimerSchmidt,Our Penny Stock Pick On $GEQU Saw Its Value Multiplied Nearly Ten Times In 2 Months! Huge News: ow.ly/RXClY $MU $YHOO $CGIX,Fri Sep 11 23:33:32 +0000 2015,false,false,5029,0,,"1 years, 4 months",en,Profile Page,
BidWackAskSlap,BidWhack/AskSlap,"fantasy football, has taken off like a rocket $LATX Penny Stock one to watch $aya $yhoo #stocks Weekly Picks: Week... ow.ly/341eBk",Sat Sep 12 00:03:19 +0000 2015,false,false,737,883,Slappin and Smackin ,http://t.co/VwdBjivilk,en,Profile Page,
KingOTCtrades,King OTC ,"fantasy football, has taken off like a rocket $LATX Penny Stock one to watch $aya $yhoo #stocks #dea Logano wins F... ow.ly/341nme",Sat Sep 12 00:35:57 +0000 2015,false,false,483,875,,http://t.co/vHGWci91Mb,en,Profile Page,
ScoreTrade,Mark,RT @theflynews: On The Fly: Top stock stories for Friday  $SLB $COP $YHOO $TWTR $AMD $MSFT $KR $ZUMZ $MFRM: Full Story bit.ly/1gfZKIW,Sat Sep 12 01:19:53 +0000 2015,false,false,10219,2770,Manhattan,"3 years, 3 months",en,Profile Page,
MoneyMarketzz,Paul Henry,"Our Stock Picks Have Gained Over 1,000% In 2 Months! See Our New Picks: snipurl.com/2a78lv6 $ORCL $YHOO $AMZN",Sat Sep 12 01:58:25 +0000 2015,false,false,13007,0,,"2 months, 4 weeks",en,Profile Page,
CannabisSR,CannabisStockReports,So You Want to Buy a Medical Marijuana Stock? Here Are 10 Things You Need to Know:  yhoo.it/1XVdCKL #MMJ,Sat Sep 12 01:59:14 +0000 2015,false,false,30,9,,http://t.co/rIRdwFqfq5,en,Profile Page,
DTNStockMarket,DTN Stock Market ,DTN Stock Market: Curbing enthusiasm ahead of Fed meeting: With stocks already in a corrective phase on Wall S... yhoo.it/1XVw6ej,Sat Sep 12 03:55:07 +0000 2015,false,false,5171,80,Canada,http://t.co/9RDfA2fZJq,en,Profile Page,
MarketsRecap,TalkMarkets Recap,Broken Promises Hide Real Value Of Yahoo Stock $YHOO $BABA $GOOGL goo.gl/dQDAVP,Sat Sep 12 04:39:03 +0000 2015,false,false,173,12,,http://t.co/jrQKD4iteR,en,Profile Page,
seewho6699,Seehoo,RT @theflynews: On The Fly: Top stock stories for Friday  $SLB $COP $YHOO $TWTR $AMD $MSFT $KR $ZUMZ $MFRM: Full Story bit.ly/1gfZKIW,Sat Sep 12 05:49:29 +0000 2015,false,false,26,32,,"3 years, 3 months",en,Profile Page,
AutoNewsBot,Auto Industry News,#FordNews : The Wisdom of a Stock-Market Nonconformist:  yhoo.it/1K2tkKM,Sat Sep 12 06:23:50 +0000 2015,false,false,2618,1918,"Detroit, MI","1 years, 2 months",en,Profile Page,
biotechstocks,Biotechstocks,The Wisdom of a Stock-Market Nonconformist:  yhoo.it/1iEdD5H,Sat Sep 12 06:25:56 +0000 2015,false,false,1207,1091,Orlando,"6 years, 1 months",en,Profile Page,
KingOTCtrades,King OTC ,"fantasy football, has taken off like a rocket $LATX Penny Stock one to watch $aya $yhoo #stocks #dea Menard 7th-qu... ow.ly/341Mf9",Sat Sep 12 06:31:54 +0000 2015,false,false,483,875,,http://t.co/vHGWci91Mb,en,Profile Page,
quqewuvydiq,Yatniel Gemnett,"RT @ETFFunds: Yahoo!, Inc. (Nasdaq: YHOO) to Ring The Nasdaq Stock Market Opening Bell.. finance.yahoo.com/news/yahoo-inc… $QQQ #ETF #ETFs #Stocks",Sat Sep 12 07:43:39 +0000 2015,false,false,419,286,Manchester,"1 years, 1 months",en,Profile Page,
newswelldone,Breaking News,"$YHOO:

IRS rejects Yahoo’s tax-free request on Alibaba spinoff. Stock tanks:

StockNewsHour.com/yhoo-irs-rejec…",Sat Sep 12 09:01:03 +0000 2015,false,false,336,0,US,"1 years, 6 months",en,Profile Page,
Makayla19Lewis,Makayla Lewis,"Yhoo Inc. Stock Price, Detailed Quote, And … : thebingbing.com/fortune/863214 .,,,, pic.twitter.com/VBVNSyfzZq",Sat Sep 12 09:25:16 +0000 2015,false,false,7033,7517,Global,"2 years, 10 months",en,Profile Page,
