User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
Mia_Thomson_GD,Mia Thomson,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,",Fri Sep 11 05:43:03 +0000 2015,false,false,6298,6736,,"2 years, 10 months",en,Profile Page,
Mia_Thomson_GD,Mia Thomson,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,,,",Fri Sep 11 09:54:03 +0000 2015,false,false,6298,6736,,"2 years, 10 months",en,Profile Page,
firsttomarkets,FirstToMarkets,"Casey's General Stores, Inc.  Upgrade by BMO Capital Markets (Ranked 15th) to Market Perform $CASY #CASY firsttomarkets.com/analytics/stoc…",Fri Sep 11 11:30:07 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
StockNewsWires,StockNewsWires,"$CASY:

US Stock Futures Decline Ahead Of Economic Data:

StockNewsHour.com/casy-us-stock-…",Fri Sep 11 11:43:02 +0000 2015,false,false,572,9,United States,"1 years, 6 months",en,Profile Page,
firsttomarkets,FirstToMarkets,"Casey's General Stores, Inc.  Upgrade by BMO Capital Markets (Ranked 15th) to Market Perform $CASY #CASY firsttomarkets.com/analytics/stoc…",Fri Sep 11 11:45:05 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
adelivania,Adelitas Photography,US Stock Futures Decline Ahead Of Economic Data $AZN $CASY $GSM via @benzinga benzinga.com/news/15/09/583…,Fri Sep 11 11:58:29 +0000 2015,false,false,158,412," Vermont, U. S.",http://t.co/ja1Q4CNg5Z,en,Profile Page,
AlertTrade,Stock Trade Alerts,AlertTrade.us US Stock Futures Decline Ahead Of… dlvr.it/C70dqh #AZN #BMOCapital #CASY #GSM #NEP #Financial #News,Fri Sep 11 12:05:17 +0000 2015,false,false,58876,58904,↓ ↓ Trade Alerts Performance,http://t.co/0qjAA0UcWX,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,Fri Sep 11 14:12:37 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$CASY September Casey's Club
From our Stock News Alerts App",Fri Sep 11 16:04:34 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ...,Fri Sep 11 18:59:04 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
SarahMoore202,Sarah Moore,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,,,",Sat Sep 12 02:03:14 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
