User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
FXS_Finance_EN,Dukascopy News (EN),CONSOL Energy (CNX) Stock Declines on Falling Oil Prices #Commodities #Dow Jones 30 #Finance #Forex #S&amp;P 500 Index dukascopy.com/refpro/in.php?…,Fri Sep 11 18:20:02 +0000 2015,false,false,22203,12344,"Geneva, Switzerland",http://t.co/2yVngen7tb,en,Profile Page,
newswithvalue,Breaking News Now,"$CNX:

CONSOL Energy (CNX) Stock Declines on Falling Oil Prices:

StockNewsHour.com/cnx-consol-ene…",Fri Sep 11 18:22:02 +0000 2015,false,false,379,0,,"1 years, 6 months",en,Profile Page,
24HOfNews,24HOfNews,"CONSOL Energy (CNX) Stock Declines on Falling Oil Prices ift.tt/1QtgjOO

NEW YORK (TheStreet) -- CONSOL Energy stock is decreasin…",Fri Sep 11 18:26:52 +0000 2015,false,false,5537,9881,Financial News and Views,http://t.co/Cbb2kwd7,en,Profile Page,
bizcomm123,Business Commerce,#TheStreet Updates CONSOL Energy (CNX) Stock Declines on Falling Oil Prices ow.ly/340zcv,Fri Sep 11 18:46:34 +0000 2015,false,false,900,1197,"Atlanta,Ga",http://t.co/Ef9GL4A8VI,en,Profile Page,
WorldShaleNews,World Shale News,CONSOL Energy (CNX) Stock Declines on Falling Oil Prices ift.tt/1OHvYc8,Fri Sep 11 19:11:49 +0000 2015,false,false,5880,3200,International,"2 years, 7 months",en,Profile Page,
EINEnergyNews,EIN Energy News,CONSOL Energy (CNX) Stock Declines on Falling Oil Prices s.einnews.com/o9ZgjGhtIF,Fri Sep 11 19:20:15 +0000 2015,false,false,3087,2084,"Washington, D.C.",http://t.co/SLw0H70sME,en,Profile Page,
ShaleMarkets,ShaleMarkets O&GNews,CONSOL Energy (CNX) Stock Declines on Falling Oil Prices ift.tt/1OHvYc8,Fri Sep 11 19:22:38 +0000 2015,false,false,13020,10138,"Pittsburgh, PA / Global ",http://t.co/6OXtBKibsq,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,"Cnx Consol Energy Inc Stock Quote … : thebingbing.com/fortune/861936 ,,,, pic.twitter.com/ymQ57p0OEB",Sat Sep 12 02:31:26 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
traderbeast15,SmartGridTrader,CONSOL Energy (CNX) Stock Declines on Falling Oil Prices ift.tt/1ETVcUI #money #stock #news #trading,Sat Sep 12 08:57:52 +0000 2015,false,false,165,115,,https://t.co/HuPigaQxDz,en,Profile Page,
zoidresearch,Zoid Research,Updated Weekly CNX NIFTY Report | Zoid ResearchClick here to edit the title | @scoopit sco.lt/6akrGj,Sat Sep 12 09:19:58 +0000 2015,false,false,423,1715,Indore,http://t.co/mACyEqwnEM,en,Profile Page,
